Date :,12/19/22 13:24,,,,,,,,,,,
Motion Threshold (au):,18,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
pre-tone, 0:00:00.000,120,0,3600,,,,,,,,
tone 01, 0:02:00.000,25,3600,750,,,,,,,,
tone 02, 0:02:42.000,25,4860,750,,,,,,,,
tone 03, 0:03:15.000,25,5850,750,,,,,,,,
tone 04, 0:04:02.000,25,7260,750,,,,,,,,
tone 05, 0:04:47.000,25,8610,750,,,,,,,,
tone 06, 0:05:29.000,25,9870,750,,,,,,,,
tone 07, 0:06:09.000,25,11070,750,,,,,,,,
tone 08, 0:06:54.000,25,12420,750,,,,,,,,
tone 09, 0:07:24.000,25,13320,750,,,,,,,,
tone 10, 0:08:08.000,25,14640,750,,,,,,,,
tone 11, 0:08:45.000,25,15750,750,,,,,,,,
tone 12, 0:09:15.000,25,16650,750,,,,,,,,
post-tone, 0:09:40.000,120,17400,3600,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,pre-tone,9,12.433,1.78,10.36,65.91,0,729
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 01,3,22.767,3.25,91.07,2.94,0,148
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 02,3,22.8,3.26,91.2,1.61,0,67
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 03,3,24.2,3.46,96.8,0.72,0,58
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 04,2,23.767,3.4,95.07,0.62,0,33
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 05,5,20.633,2.95,82.53,5.02,0,149
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 06,2,23.867,3.41,95.47,0.73,0,48
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 07,1,25,3.57,100,0.01,0,2
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 08,2,19.267,2.75,77.07,4.44,0,121
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 09,3,22.6,3.23,90.4,1.86,0,130
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 10,4,16.967,2.42,67.87,14,0,223
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 11,4,22.767,3.25,91.07,2.41,0,204
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,tone 12,1,22.133,3.16,88.53,3.59,0,157
VF110722_E1,1,Chamber 1,B6-F-110-L1,06-50-25-SC,post-tone,4,9.333,1.33,7.78,98.57,0,798
,,,,,,,,,,,,
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,pre-tone,9,18.333,2.62,15.28,86.55,0,914
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 01,7,14,2,56,17.66,0,342
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 02,7,16.6,2.37,66.4,5.79,0,91
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 03,3,6.467,0.92,25.87,23.4,0,285
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 04,2,3.133,0.45,12.53,44.38,0,695
VF110722_E1,1,Chamber 2,B6-F-110-L2,06-50-25-SC,tone 05,4,6.3,0.9,25.2,23.67,0,300
